"source","category_code","category_path","unmapped_products_count"
kaspi_nonfood,c/stuffed-toys,c/stuffed-toys,1676212
kaspi_nonfood,Sofas,Sofas,1490353
kaspi_nonfood,c/construction-sets,c/construction-sets,1226322
kaspi_nonfood,c/usb-flash-drives,c/usb-flash-drives,713404
kaspi_nonfood,Bedroom mattresses,Bedroom mattresses,641390
kaspi_nonfood,Kitchen sets,Kitchen sets,636938
kaspi_nonfood,c/wireless-equipment,c/wireless-equipment,635431
kaspi_nonfood,c/smart-watches,c/smart-watches,567560
kaspi_nonfood,Faucets,Faucets,561314
kaspi_nonfood,c/fiction,c/fiction,516725
kaspi_nonfood,Table cloths and serving mats,Table cloths and serving mats,431453
kaspi_nonfood,c/tablets,c/tablets,411313
kaspi_nonfood,c/sports-balls,c/sports-balls,410977
kaspi_nonfood,c/headphones,c/headphones,395801
kaspi_nonfood,Beds,Beds,377781
kaspi_nonfood,Watches,Watches,370840
kaspi_nonfood,c/art-paper,c/art-paper,344870
kaspi_nonfood,Draperies and curtains,Draperies and curtains,341900
kaspi_nonfood,c/notebooks,c/notebooks,329198
kaspi_nonfood,c/hair-dryers,c/hair-dryers,329111
kaspi_nonfood,c/exercise-notebooks,c/exercise-notebooks,328653
kaspi_nonfood,c/indoor-house-plants,c/indoor-house-plants,326005
kaspi_nonfood,c/office-paper,c/office-paper,306271
kaspi_nonfood,c/dry-cat-food,c/dry-cat-food,301702
kaspi_nonfood,c/game-consoles,c/game-consoles,264677
kaspi_nonfood,c/flowers,c/flowers,258447
kaspi_nonfood,c/smartphones,c/smartphones,252955
kaspi_nonfood,c/roller-skates,c/roller-skates,249646
kaspi_nonfood,Interior mirrors,Interior mirrors,244629
kaspi_nonfood,c/snow-tubes,c/snow-tubes,243029
kaspi_nonfood,c/drawing-colored-pencils,c/drawing-colored-pencils,231760
kaspi_nonfood,Bedding sets,Bedding sets,230967
kaspi_nonfood,c/pens,c/pens,229061
kaspi_nonfood,Women swimwear,Одежда > Женщинам > Женская пляжная одежда,226300
kaspi_nonfood,Kitchen chairs,Kitchen chairs,208140
kaspi_nonfood,Wallpapers,Wallpapers,187355
kaspi_nonfood,Tulles and curtains,Tulles and curtains,180860
kaspi_nonfood,Chandeliers,Chandeliers,177806
kaspi_nonfood,Towels,Towels,168421
kaspi_nonfood,Cutlery sets,Cutlery sets,134139
kaspi_nonfood,Bed blankets,Bed blankets,133555
kaspi_nonfood,Bed pillows,Bed pillows,132383
kaspi_nonfood,c/photo-cameras,c/photo-cameras,119366
kaspi_nonfood,Kitchen knives,Kitchen knives,117813
kaspi_nonfood,Women tanks and camis,Одежда > Женщинам > Женские топы и майки,117720
kaspi_nonfood,c/tvs,c/tvs,113535
kaspi_nonfood,c/chargers,c/chargers,104767
kaspi_nonfood,Computer desks,Computer desks,101713
kaspi_nonfood,Blinds,Blinds,99332
kaspi_nonfood,Dinnerware sets,Dinnerware sets,96838
kaspi_nonfood,Glasswares and drinkwares,Glasswares and drinkwares,96098
kaspi_nonfood,Women hoodies,Одежда > Женщинам > Женские толстовки и свитшоты,92615
kaspi_nonfood,Contact lenses,Contact lenses,86744
kaspi_nonfood,Rags and sponges,Rags and sponges,81623
kaspi_nonfood,Suitcases,Suitcases,81208
kaspi_nonfood,Umbrellas,Umbrellas,75267
kaspi_nonfood,Girl clothing sets,Одежда > Девочкам > Комплекты одежды для девочек,70501
kaspi_nonfood,Women shorts,Одежда > Женщинам > Женские шорты,68341
kaspi_nonfood,Rubbish bins,Rubbish bins,64013
kaspi_nonfood,Air conditioners,Air conditioners,62438
kaspi_nonfood,Girl pants,Одежда > Девочкам > Брюки для девочек,56694
kaspi_nonfood,Men shorts,Одежда > Мужчинам > Мужские шорты,54240
kaspi_nonfood,Boy clothing sets,Одежда > Мальчикам > Комплекты одежды для мальчиков,53754
kaspi_nonfood,Desk lamps,Desk lamps,50931
kaspi_nonfood,Maternity clothes,Одежда > Женщинам > Одежда для беременных и кормящих,50575
kaspi_nonfood,Heaters,Heaters,49266
kaspi_nonfood,Women workwear,Одежда > Женщинам > Спецодежда для женщин,44578
kaspi_nonfood,Workwear,Одежда > Мужчинам > Спецодежда для мужчин,41497
kaspi_nonfood,Pans,Pans,40779
kaspi_nonfood,Washing gels and liquids,Washing gels and liquids,37935
kaspi_nonfood,Girl leisurewear,Одежда > Девочкам > Домашняя одежда для девочек,37287
kaspi_nonfood,Shoe cleaners,Shoe cleaners,36546
kaspi_nonfood,Paints,Paints,36086
kaspi_nonfood,Girl swimwear,Одежда > Девочкам > Пляжная одежда для девочек,33683
kaspi_nonfood,Light bulbs,Light bulbs,32174
kaspi_nonfood,Women jumpsuits,Одежда > Женщинам > Женские комбинезоны,31255
kaspi_nonfood,Hammers and sledgehammers,Hammers and sledgehammers,30266
kaspi_nonfood,Women bodysuits,Одежда > Женщинам > Женские боди и корсеты,29869
