"id","source","category_code","category_path","cpi_category","match_method","created_at"
17591,wolt,Пицца,Пицца,Тесто,qwen,2026-07-08 12:06:26.171
17592,wolt,Пицца,Пицца,Сыр,qwen,2026-07-08 12:06:26.171
17593,wolt,Пироги,Пироги,Тесто,qwen,2026-07-08 12:06:26.171
17594,wolt,Пицца,Пицца,Масло оливковое,qwen,2026-07-08 12:06:26.171
17595,wolt,Перекусы / Чиабатта,Перекусы / Чиабатта,Хлеб,qwen,2026-07-08 12:06:26.171
17596,wolt,Пироги,Пироги,Булочки сдобные,qwen,2026-07-08 12:06:26.171
17597,wolt,Пицца,Пицца,"Сосиски, сардельки",qwen,2026-07-08 12:06:26.171
17598,wolt,Перекусы / Супы,Перекусы / Супы,"Кубики бульонные мясные, овощные, грибные",qwen,2026-07-08 12:06:26.171
17599,wolt,Пироги,Пироги,Морковь,qwen,2026-07-08 12:06:26.171
17600,wolt,Пироги,Пироги,Картофель,qwen,2026-07-08 12:06:26.171
17601,wolt,Пироги,Пироги,Лук репчатый,qwen,2026-07-08 12:06:26.171
17602,wolt,Пицца,Пицца,Лук репчатый,qwen,2026-07-08 12:06:26.171
17603,wolt,Перекусы / Панини,Перекусы / Панини,Булочки сдобные,qwen,2026-07-08 12:06:26.171
17604,wolt,Пироги,Пироги,Хлеб,qwen,2026-07-08 12:06:26.171
17605,wolt,Пироги,Пироги,Мясной фарш,qwen,2026-07-08 12:06:26.171
17606,wolt,Пицца,Пицца,Хлеб,qwen,2026-07-08 12:06:26.171
17607,wolt,Пицца,Пицца,Мясной фарш,qwen,2026-07-08 12:06:26.171
17608,wolt,Пицца,Пицца,"Оливки, маслины консервированные",qwen,2026-07-08 12:06:26.171
17609,wolt,Пончики🍩,Пончики🍩,Булочки сдобные,qwen,2026-07-08 12:06:26.171
17610,wolt,Пицца,Пицца,Перец сладкий,qwen,2026-07-08 12:06:26.171
17611,wolt,Перекусы / Панини,Перекусы / Панини,Хлеб,qwen,2026-07-08 12:06:26.171
17612,wolt,Пицца,Пицца,Колбаса,qwen,2026-07-08 12:06:26.171
17613,wolt,Пироги,Пироги,Свекла,qwen,2026-07-08 12:06:26.171
17614,wolt,Пироги,Пироги,Яйца,qwen,2026-07-08 12:06:26.171
17615,wolt,Пицца,Пицца,Томатная паста,qwen,2026-07-08 12:06:26.171
17616,wolt,Перекусы / Круассаны,Перекусы / Круассаны,Булочки сдобные,qwen,2026-07-08 12:06:26.171
17617,wolt,Панини,Панини,Булочки сдобные,qwen,2026-07-08 12:06:26.171
17618,wolt,Пироги,Пироги,Масло сливочное,qwen,2026-07-08 12:06:26.171
17619,wolt,Панини,Панини,Хлеб,qwen,2026-07-08 12:06:26.171
17620,wolt,Стики,Стики,Табачные стики,qwen,2026-07-08 12:06:46.837
17621,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Свекла,qwen,2026-07-08 12:06:55.957
17622,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Напитки газированные,qwen,2026-07-08 12:06:55.957
17623,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Фруктовое и овощное пюре,qwen,2026-07-08 12:06:55.957
17624,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Апельсины,qwen,2026-07-08 12:06:55.957
17625,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Арахис (орех земляной),qwen,2026-07-08 12:06:55.957
17626,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сахар-песок,qwen,2026-07-08 12:06:55.957
17627,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа кукурузная,qwen,2026-07-08 12:06:55.957
17628,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Изюм,qwen,2026-07-08 12:06:55.957
17629,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Орехи (фундук, миндаль, кешью, грецкий орех)",qwen,2026-07-08 12:06:55.957
17630,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Масло оливковое,qwen,2026-07-08 12:06:55.957
17631,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Карамель,qwen,2026-07-08 12:06:55.957
17632,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Мандарины,qwen,2026-07-08 12:06:55.957
17633,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Кофе,qwen,2026-07-08 12:06:55.957
17634,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Томатный кетчуп,qwen,2026-07-08 12:06:55.957
17635,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Хлеб,qwen,2026-07-08 12:06:55.957
17636,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Финики сушеные,qwen,2026-07-08 12:06:55.957
17637,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Пшено,qwen,2026-07-08 12:06:55.957
17638,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Фрукты, ягоды консервированные",qwen,2026-07-08 12:06:55.957
17639,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Лук репчатый,qwen,2026-07-08 12:06:55.957
17640,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Халва,qwen,2026-07-08 12:06:55.957
17641,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа перловая,qwen,2026-07-08 12:06:55.957
17642,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Салат,qwen,2026-07-08 12:06:55.957
17643,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Вермишель,qwen,2026-07-08 12:06:55.957
17644,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Какао-напиток быстрорастворимый,qwen,2026-07-08 12:06:55.957
17645,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Курага,qwen,2026-07-08 12:06:55.957
17646,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа манная,qwen,2026-07-08 12:06:55.957
17647,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Зелень,qwen,2026-07-08 12:06:55.957
17648,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Шоколад,qwen,2026-07-08 12:06:55.957
17649,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Картофельные чипсы,qwen,2026-07-08 12:06:55.957
17650,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Чеснок,qwen,2026-07-08 12:06:55.957
17651,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Тесто,qwen,2026-07-08 12:06:55.957
17652,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Кукуруза консервированная,qwen,2026-07-08 12:06:55.957
17653,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Овощи замороженные,qwen,2026-07-08 12:06:55.957
17654,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Бананы,qwen,2026-07-08 12:06:55.957
17655,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,"Прочие специи, кулинарные травы, семена",qwen,2026-07-08 12:06:55.957
17656,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Соевый соус,qwen,2026-07-08 12:06:55.957
17657,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сухофрукты для компота,qwen,2026-07-08 12:06:55.957
17658,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Чечевица,qwen,2026-07-08 12:06:55.957
17659,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Картофель,qwen,2026-07-08 12:06:55.957
17660,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Крупа гречневая,qwen,2026-07-08 12:06:55.957
17661,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Капуста белокочанная,qwen,2026-07-08 12:06:55.957
17662,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Картофель фри,qwen,2026-07-08 12:06:55.957
17663,wolt,ВЕГАН ПРОДУКТЫ🌾,ВЕГАН ПРОДУКТЫ🌾,Сухие завтраки с орехами или сухофруктами,qwen,2026-07-08 12:06:55.957
